,Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2,Building_num,Land_num,Area_M2
0,Vista GL taft condo in front of PGH MANILA,"Taft, Manila",House and Lot,Bungalow,161,21,,1,1,121.0329554,14.56466822,Vista Gl Taft,2637143.963,https://www.lamudi.com.ph/vista-gl-taft-condo-in-front-of-pgh-manila-166017589289.html,Manila,21,,112
1,"For Sale 295 sqm RFO Penthouse Unit with Garden at Celadon Park, Manila","Santa Cruz, Manila",Condominium,2BR,44,295,,3,,121.0186242,14.57950105,Celadon Park ,37045593.76,https://www.lamudi.com.ph/for-sale-295-sqm-rfo-penthouse-unit-with-garden-at-166012648432.html,Manila,295,,148
2,Preselling 4 bedroom Condominium Unit in T One Residences - Binondo Manila,"Binondo, Manila",Townhouse,End,143,187,2,4,4,121.0223687,14.57406048,T One Residences,23483139.1,https://www.lamudi.com.ph/preselling-4-bedroom-condominium-unit-in-t-one-res-16601264817.html,Manila,187,,187
3,"Studio Unit for Sale Fully Furnished at with Balcony Silk Residences, Manila","Santa Mesa, Manila",House and Lot,Two-storey,149,25,,1,1,121.0047671,14.62193807,The Silk Residences,3139457.099,https://www.lamudi.com.ph/studio-unit-for-sale-fully-furnished-at-with-balco-165987549954.html,Manila,25,,114
4,1 Bedroom Penthouse Unit for Sale with Balcony at The Silk Residences Manila,"Santa Mesa, Manila",Townhouse,End,93,55.28,1,1,1,121.0443803,14.61938861,The Silk Residences,6941967.537,https://www.lamudi.com.ph/1-bedroom-penthouse-unit-for-sale-with-balcony-at-165983071147.html,Manila,55.28,,133
5,"5-Storey Commercial Building for sale in Manila, Divisoria, Recto Ave.","Tondo, Manila",Condominium,Penthouse,10,0,,,,121.0294574,14.62786246,,0,https://www.lamudi.com.ph/5-storey-commercial-building-for-sale-in-manila-di-165934693354.html,Manila,0,1318,110
6,"Recto Ave. Prime Commercial Building for Sale in Divisoria, Manila Nr.China Town","Tondo, Manila",Townhouse,Inner,122,0,,,,120.9847472,14.59459503,,0,https://www.lamudi.com.ph/recto-ave-prime-commercial-building-for-sale-in-di-165934693084.html,Manila,0,1318,107
7,"Commercial Lot for Sale in Manila, Divisoria, Recto Ave.","Tondo, Manila",House and Lot,Bungalow,118,,,,,120.976581,14.57262459,,,https://www.lamudi.com.ph/commercial-lot-for-sale-in-manila-divisoria-recto-16593469239.html,Manila,,1318,145
8,"Commercial Building for Sale in Manila, Divisoria, Recto Ave.","Binondo, Manila",House and Lot,Two-storey,155,0,,,,121.0354304,14.56899704,,0,https://www.lamudi.com.ph/commercial-building-for-sale-in-manila-divisoria-r-165934692290.html,Manila,0,1318,122
9,"Prime Commercial Lot for Sale Manila City Divisoria,Recto with 5-Storey Building","Tondo, Manila",Townhouse,Inner,52,,,,,120.9781019,14.62363158,,,https://www.lamudi.com.ph/prime-commercial-lot-for-sale-manila-city-divisori-16594062753.html,Manila,,1318,107
10,"Divisoria Prime Commercial Building for Sale Manila City,Recto Nr.Ylaya,168 Mall","Binondo, Manila",Condominium,Studio,75,0,,,,120.9976011,14.59832775,,0,https://www.lamudi.com.ph/divisoria-prime-commercial-building-for-sale-manil-165940633432.html,Manila,0,1318,159
11,"Commercial Building for Sale in Divisoria, Manila, Tondo, Recto Nr. Binondo","Tondo, Manila",House and Lot,Two-storey,118,0,,,,121.0208595,14.55659361,,0,https://www.lamudi.com.ph/commercial-building-for-sale-in-divisoria-manila-t-165940614429.html,Manila,0,1318,120
12,Recto Divisoria Commercial Building for Sale Manila City Ylaya Tondo nr.168 Mall,"Tondo, Manila",Condominium,1BR,97,0,,,,121.0071805,14.588728,,0,https://www.lamudi.com.ph/recto-divisoria-commercial-building-for-sale-manil-165945502796.html,Manila,0,1318,172
13,"5-Storey Commercial Building for Sale Divisoria, Manila Along Recto Ave.,Binondo","Tondo, Manila",Condominium,1BR,147,0,,,,121.0499927,14.58210827,,0,https://www.lamudi.com.ph/5-storey-commercial-building-for-sale-divisoria-ma-165934071147.html,Manila,0,1318,113
14,"Recto Commercial Lot with Building for Sale Divisoria, Manila, Tondo, Binondo","Binondo, Manila",Commercial,Office,17,,,,,121.0476585,14.60663596,,,https://www.lamudi.com.ph/recto-commercial-lot-with-building-for-sale-diviso-165934070991.html,Manila,,1318,152
15,"1,318 sqm Prime Commercial Property for Sale in Divisoria, Manila","Binondo, Manila",Condominium,2BR,179,,,,,120.9572718,14.56020208,,,https://www.lamudi.com.ph/1-318-sqm-prime-commercial-property-for-sale-in-di-165934969672.html,Manila,,1318,116
16,"Commercial Building for Sale in Divisoria, Manila Nr. Binondo, China Town","Tondo, Manila",Commercial,Office,172,0,,,,120.9507835,14.62882538,,0,https://www.lamudi.com.ph/commercial-building-for-sale-in-divisoria-manila-n-165933920614.html,Manila,0,1318,133
17,"Residential/Commercial Building for sale at Malate, Manila, Metro Manila","Malate, Manila",Townhouse,End,124,0,,,,120.9907271,14.56840912,,0,https://www.lamudi.com.ph/residential-commercial-building-for-sale-at-malate-16591255700.html,Manila,0,120,112
18,Commercial Lot in Sta. Ana Manila near Pedro Gil and Circuit Mall Makati,"Santa Ana, Manila",Townhouse,End,128,,,,,120.9741903,14.57467085,,,https://www.lamudi.com.ph/commercial-lot-in-sta-ana-manila-near-pedro-gil-an-165896562478.html,Manila,,914.7,145
19,"Prime Residential Lot with Structure for Sale in Sta. Ana, Manila City","Santa Ana, Manila",Condominium,1BR,133,,,,,121.0579208,14.56759209,,,https://www.lamudi.com.ph/prime-residential-lot-with-structure-for-sale-in-s-16584596997.html,Manila,,914.7,110
20,For Sale Brand New 2 Bedroom Unit with Balcony at Torre De Manila,"Malate, Manila",Commercial,Retail,77,42.5,,2,1,121.0310782,14.62288227,Torre de Manila,5337077.068,https://www.lamudi.com.ph/for-sale-brand-new-2-bedroom-unit-with-balcony-at-165863916143.html,Manila,42.5,,168
21,Rented 2 BR Condo Unit W/ Parking @ La Verti Residences For Sale,"Taft, Manila",House and Lot,Two-storey,83,57,,2,1,120.9738842,14.59322367,La Verti Residences,7157962.185,https://www.lamudi.com.ph/rented-2-br-condo-unit-w-parking-la-verti-residenc-16584858157.html,Manila,57,,139
22,Brand New Spacious 1 Bedroom @ Torre de Manila for Sale,"Ermita, Manila",Townhouse,End,116,55,,1,1,121.029235,14.55523611,Torre De Manila,6906805.617,https://www.lamudi.com.ph/brand-new-spacious-1-bedroom-torre-de-manila-for-sale.html,Manila,55,,146
23,Brand New 2 Bedroom Unit at Torre de Manila for Sale,"Ermita, Manila",Commercial,Office,128,55,,2,1,121.0061581,14.58251914,Torre De Manila,6906805.617,https://www.lamudi.com.ph/brand-new-2-bedroom-unit-at-torre-de-manila-for-sale-1.html,Manila,55,,187
24,Santa Ana | Good Location! Prime Commercial/Residential Lot for Sale in Manila,"Santa Ana, Manila",Townhouse,Inner,27,,,,,121.0091248,14.6285918,,,https://www.lamudi.com.ph/santa-ana-good-location-prime-commercial-residential-lot-for-sale-in-manila.html,Manila,,914.7,105
25,WH Taft Residences For Sale 6M La Salle Taft Avenu Manila,"Malate, Manila",House and Lot,Bungalow,30,36,,1,1,120.9560213,14.56289131,WH TAFT RESIDENCES MANILA LA SALLE,4520818.222,https://www.lamudi.com.ph/wh-taft-residences-for-sale-6m-la-salle-taft-avenu-manila.html,Manila,36,,109
