Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2
Rush Sale! 3Bedroom Condo Unit in McKinley Garden Villas 19Million,"McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",None,128,None,3,2,121.0553,14.53712,McKinley Garden Villas,19000000,https://www.lamudi.com.ph/rush-sale-3bedroom-condo-unit-in-mckinley-garden-v-166132665343.html,Taguig
Re-Opened Prime Beach Lot in Playa Laiya,"Laiya-Aplaya, San Juan",Land,"Land,beach-lot",537,None,None,None,None,121.379905,13.691466,None,20191200,https://www.lamudi.com.ph/re-opened-prime-beach-lot-in-playa-laiya-166123176043.html,San Juan
"Interior Decorated 3 Bedroom Unit for Sale in The Peak Tower, Makati City","Salcedo Village, Makati",Condominium,"Condominium,3-bedroom",None,162,None,3,3,121.0206028,14.5596699,The Peak,29500000,https://www.lamudi.com.ph/interior-decorated-3-bedroom-unit-for-sale-in-the-16612243031.html,Makati
"Acropolis Loyola | Lots for Sale in Matandang Balara, Quezon City","Matandang Balara, Quezon City",Land,"Land,residential-lot",300,None,None,None,None,122.2664748,14.5353804,None,80000000,https://www.lamudi.com.ph/acropolis-loyola-10-discount-hurry-up-commercial-166117642433.html,Quezon City
"Modern House and lot for sale in Ayala Alabang Village, Muntinlupa","Ayala Alabang, Muntinlupa",House,"House,single-family-house",570,900,6,6,6,121.022321,14.405874,None,235000000,https://www.lamudi.com.ph/modern-house-ayala-alabang-village-166116251893.html,Muntinlupa
Grand Eastwood Palazzo 2 Bedroom Upgraded Unit w/ Parking High Floor,"Bagumbayan, Quezon City",Condominium,"Condominium,double-bedroom",None,73,1,2,2,121.081903,14.605396,The Grand Eastwood Palazzo,8300000,https://www.lamudi.com.ph/grand-eastwood-palazzo-2-bedroom-upgraded-unit-w-p-166115673936.html,Quezon City
"For Sale 2 Bedroom with Parking at Shang Residences at Wack Wack, Mandaluyong","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,142,1,2,4,121.053333,14.592173,Shang Residences at Wack Wack,43624480,https://www.lamudi.com.ph/2-bedroom-with-parking-at-shang-residences-at-wack-16609816107.html,Mandaluyong
"3-Bedroom Condo for Sale in BGC Taguig City, 5th Floor, Verve Residences Tower 1","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,184,1,3,3,121.050318,14.540867,Verve Residences,49000000,https://www.lamudi.com.ph/3-bedroom-condo-for-sale-in-bgc-taguig-city-5th-fl-166097915610.html,Taguig
"2-Bedroom Condo For Sale in BGC Taguig City, 10th Floor, Icon Residences Tower 2","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,95,1,2,2,121.050318,14.540867,Icon Residences,20000000,https://www.lamudi.com.ph/2-bedroom-condo-for-sale-in-bgc-taguig-city-10th-f-166097421844.html,Taguig
"For Sale Loft Type Unit in AMA Tower Residences, Mandaluyong City","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,loft-1",None,65,None,2,2,121.053333,14.592173,AMA Tower Residences,14456789,https://www.lamudi.com.ph/loft-type-condo-in-ortigas-mandaluyong-rent-to-own-166097150696.html,Mandaluyong
